channel,NMSE
FP1,11.7382
FP2,11.4090
F3,2.2379
F4,1.4453
C3,0.5463
C4,0.3368
P3,0.2014
P4,0.1242
O1,0.0662
O2,0.0327
F7,3.9276
F8,3.3472
T3,0.9253
T4,0.4706
T5,0.1698
T6,0.0952
Fz,3.0831
Cz,0.7318
Pz,0.1704
	, 
sum,41.0588
