electrode,time,NMSE
FP1,   ,4.4264
FP2,   ,5.5890
F3,   ,0.7058
F4,   ,0.8971
C3,   ,0.1359
C4,   ,0.1600
P3,   ,0.0577
P4,   ,0.0586
O1,   ,0.0203
O2,   ,0.0252
F7,   ,0.5733
F8,   ,0.6926
T3,   ,0.0953
T4,   ,0.1120
T5,   ,0.0652
T6,   ,0.0431
Fz,   ,0.8282
Cz,   ,0.1607
Pz,   ,0.0618
sum,2.70,14.7083
