electrode,time,NMSE
FP1,   ,1.1618
FP2,   ,1.0588
F3,   ,0.4242
F4,   ,0.3493
C3,   ,0.3075
C4,   ,0.2264
P3,   ,0.1979
P4,   ,0.1275
O1,   ,0.3422
O2,   ,0.2343
F7,   ,0.6851
F8,   ,0.6133
T3,   ,0.4201
T4,   ,0.2635
T5,   ,0.0836
T6,   ,0.1479
Fz,   ,0.3071
Cz,   ,0.1623
Pz,   ,0.1625
sum,0.64,7.2755
