electrode,time,NMSE
FP1,   ,0.1663
FP2,   ,0.1735
F3,   ,0.0343
F4,   ,0.0386
C3,   ,0.0115
C4,   ,0.0178
P3,   ,0.0052
P4,   ,0.0078
O1,   ,0.0014
O2,   ,0.0054
F7,   ,0.0367
F8,   ,0.0374
T3,   ,0.0130
T4,   ,0.0113
T5,   ,0.0058
T6,   ,0.0050
Fz,   ,0.0378
Cz,   ,0.0130
Pz,   ,0.0085
sum,13.68,0.6305
