electrode,time,NMSE
FP1,   ,0.2314
FP2,   ,0.5613
F3,   ,0.0423
F4,   ,0.0837
C3,   ,0.0121
C4,   ,0.0248
P3,   ,0.0070
P4,   ,0.0104
O1,   ,0.0128
O2,   ,0.0129
F7,   ,0.0305
F8,   ,0.1056
T3,   ,0.0080
T4,   ,0.0152
T5,   ,0.0095
T6,   ,0.0289
Fz,   ,0.0730
Cz,   ,0.0203
Pz,   ,0.0125
sum,6.47,1.3022
