channel,beta_V,beta_H
Fp1,0.1964,0.0985
Fp2,0.2462,-0.0282
F7,0.0560,0.1767
F3,0.0410,0.0685
Fz,0.0518,0.0079
F4,0.0456,-0.0588
F8,0.0857,-0.1862
M1,-0.0764,0.0412
T7,-0.0329,0.1040
C3,-0.0262,0.0326
Cz,-0.0248,-0.0024
C4,-0.0239,-0.0418
T8,-0.0315,-0.1145
M2,-0.0742,-0.0550
P7,-0.0594,0.0272
P3,-0.0504,0.0140
Pz,-0.0527,-0.0078
P4,-0.0521,-0.0232
P8,-0.0625,-0.0419
O1,-0.0778,-0.0013
O2,-0.0783,-0.0114
	, , 
sum abs,1.4458,1.1430
