electrode,time,NMSE
FP1,   ,5.0813
FP2,   ,3.3771
F3,   ,0.6059
F4,   ,0.3533
C3,   ,0.1094
C4,   ,0.0605
P3,   ,0.0341
P4,   ,0.0277
O1,   ,0.0223
O2,   ,0.0118
F7,   ,0.4331
F8,   ,0.2834
T3,   ,0.0900
T4,   ,0.0496
T5,   ,0.0488
T6,   ,0.0297
Fz,   ,0.5597
Cz,   ,0.0963
Pz,   ,0.0255
sum,3.45,11.2996
