electrode,time,NMSE
FP1,   ,0.9748
FP2,   ,1.4555
F3,   ,0.2700
F4,   ,0.4515
C3,   ,0.1078
C4,   ,0.2404
P3,   ,0.1135
P4,   ,0.1826
O1,   ,0.0779
O2,   ,0.0869
F7,   ,0.2884
F8,   ,0.4691
T3,   ,0.0769
T4,   ,0.2172
T5,   ,0.1034
T6,   ,0.0792
Fz,   ,0.2749
Cz,   ,0.1456
Pz,   ,0.3599
sum,2.80,5.9754
