channel,beta_V,beta_H
Fp1,0.2817,0.0421
Fp2,0.2511,-0.0528
F7,0.0471,0.2168
F3,0.0593,0.0600
Fz,0.0531,-0.0074
F4,0.0563,-0.0798
F8,0.0882,-0.2072
M1,-0.0986,0.0781
T7,-0.0578,0.1182
C3,-0.0233,0.0428
Cz,-0.0213,-0.0000
C4,-0.0251,-0.0543
T8,-0.0549,-0.1100
M2,-0.1010,-0.0161
P7,-0.0737,0.0452
P3,-0.0607,0.0172
Pz,-0.0516,0.0171
P4,-0.0582,-0.0096
P8,-0.0729,-0.0309
O1,-0.0802,0.0351
O2,-0.0795,0.0119
	, , 
sum abs,1.6957,1.2527
