electrode,time,NMSE
FP1,   ,1.3170
FP2,   ,2.6253
F3,   ,0.6783
F4,   ,0.7275
C3,   ,0.6113
C4,   ,0.4902
P3,   ,0.4709
P4,   ,0.2954
O1,   ,0.3326
O2,   ,0.1954
F7,   ,0.7251
F8,   ,1.1383
T3,   ,0.5392
T4,   ,0.5825
T5,   ,0.4242
T6,   ,0.1522
Fz,   ,0.8866
Cz,   ,0.6636
Pz,   ,0.3886
sum,0.87,13.2441
