electrode,time,NMSE
FP1,   ,3.8726
FP2,   ,9.4094
F3,   ,0.5657
F4,   ,1.1017
C3,   ,0.1258
C4,   ,0.3011
P3,   ,0.0483
P4,   ,0.1186
O1,   ,0.0173
O2,   ,0.0666
F7,   ,0.1699
F8,   ,0.5998
T3,   ,0.0178
T4,   ,0.0564
T5,   ,0.0287
T6,   ,0.0830
Fz,   ,1.1279
Cz,   ,0.2889
Pz,   ,0.0863
sum,4.05,18.0859
