channel,beta_V,beta_H
Fp1,0.2569,0.0897
Fp2,0.2581,-0.0930
F7,0.0698,0.2725
F3,0.0439,0.0728
Fz,0.0360,-0.0205
F4,0.0494,-0.1100
F8,0.0895,-0.3058
M1,-0.0794,0.0900
T7,-0.0429,0.1466
C3,-0.0263,0.0529
Cz,-0.0284,-0.0182
C4,-0.0270,-0.0765
T8,-0.0351,-0.1822
M2,-0.0798,-0.0927
P7,-0.0655,0.0494
P3,-0.0543,0.0234
Pz,-0.0539,-0.0106
P4,-0.0555,-0.0372
P8,-0.0643,-0.0683
O1,-0.0724,0.0174
O2,-0.0695,-0.0083
	, , 
sum abs,1.5579,1.8378
