electrode,time,NMSE
FP1,   ,0.5273
FP2,   ,0.2635
F3,   ,0.0630
F4,   ,0.0359
C3,   ,0.0180
C4,   ,0.0136
P3,   ,0.0093
P4,   ,0.0080
O1,   ,0.0044
O2,   ,0.0061
F7,   ,0.1081
F8,   ,0.0324
T3,   ,0.0357
T4,   ,0.0140
T5,   ,0.0113
T6,   ,0.0110
Fz,   ,0.0662
Cz,   ,0.0178
Pz,   ,0.0073
sum,2.03,1.2531
