electrode,time,NMSE
FP1,   ,0.5842
FP2,   ,0.7651
F3,   ,0.2420
F4,   ,0.2236
C3,   ,0.1521
C4,   ,0.1244
P3,   ,0.1291
P4,   ,0.1042
O1,   ,0.0700
O2,   ,0.0809
F7,   ,0.1196
F8,   ,0.2132
T3,   ,0.1273
T4,   ,0.0936
T5,   ,0.0658
T6,   ,0.1631
Fz,   ,0.2455
Cz,   ,0.1663
Pz,   ,0.2122
sum,2.91,3.8821
