electrode,time,NMSE
FP1,   ,5.1428
FP2,   ,3.4183
F3,   ,0.6818
F4,   ,0.3968
C3,   ,0.1305
C4,   ,0.0700
P3,   ,0.0366
P4,   ,0.0291
O1,   ,0.0221
O2,   ,0.0120
F7,   ,2.1184
F8,   ,1.3855
T3,   ,0.7801
T4,   ,0.4046
T5,   ,0.0828
T6,   ,0.0486
Fz,   ,0.5921
Cz,   ,0.1015
Pz,   ,0.0255
sum,3.12,15.4791
