electrode,time,NMSE
FP1,   ,4.9268
FP2,   ,3.2489
F3,   ,1.0985
F4,   ,0.7922
C3,   ,0.2563
C4,   ,0.2910
P3,   ,0.0980
P4,   ,0.0579
O1,   ,0.0985
O2,   ,0.0509
F7,   ,3.0211
F8,   ,1.6086
T3,   ,0.9543
T4,   ,0.5156
T5,   ,0.2014
T6,   ,0.1492
Fz,   ,0.8007
Cz,   ,0.1659
Pz,   ,0.0448
sum,0.60,18.3808
