channel,beta_V,beta_H
Fp1,0.2916,0.0610
Fp2,0.2752,-0.0607
F7,0.0876,0.1667
F3,0.0466,0.0456
Fz,0.0482,-0.0144
F4,0.0567,-0.0831
F8,0.1053,-0.1973
M1,-0.0826,0.0615
T7,-0.0405,0.0787
C3,-0.0298,0.0513
Cz,-0.0290,0.0086
C4,-0.0281,-0.0490
T8,-0.0343,-0.1070
M2,-0.0894,-0.0381
P7,-0.0716,0.0217
P3,-0.0631,0.0270
Pz,-0.0650,0.0024
P4,-0.0602,-0.0268
P8,-0.0713,-0.0369
O1,-0.0830,0.0260
O2,-0.0813,0.0022
	, , 
sum abs,1.7404,1.1660
