channel,beta_V,beta_H
Fp1,0.3023,0.0956
Fp2,0.2740,-0.0691
F7,0.1212,0.2438
F3,0.0456,0.0660
Fz,0.0360,-0.0232
F4,0.0413,-0.0974
F8,0.0746,-0.2067
M1,-0.0836,0.0826
T7,-0.0337,0.1186
C3,-0.0276,0.0621
Cz,-0.0365,0.0239
C4,-0.0355,-0.0659
T8,-0.0460,-0.1509
M2,-0.0910,-0.0528
P7,-0.0692,0.0314
P3,-0.0636,0.0262
Pz,-0.0630,0.0084
P4,-0.0681,-0.0635
P8,-0.0847,-0.0334
O1,-0.0815,0.0197
O2,-0.0841,-0.0334
	, , 
sum abs,1.7631,1.5747
