electrode,time,NMSE
FP1,   ,9.1632
FP2,   ,3.8722
F3,   ,1.1553
F4,   ,0.4862
C3,   ,0.2596
C4,   ,0.1060
P3,   ,0.1287
P4,   ,0.0544
O1,   ,0.0601
O2,   ,0.0265
F7,   ,3.2176
F8,   ,1.6210
T3,   ,0.9920
T4,   ,0.3860
T5,   ,0.2374
T6,   ,0.0591
Fz,   ,1.6113
Cz,   ,0.3898
Pz,   ,0.1232
sum,2.11,23.9493
