channel,beta_V,beta_H
Fp1,0.2499,0.0232
Fp2,0.2243,-0.0747
F7,0.0769,0.1679
F3,0.0419,0.0590
Fz,0.0439,-0.0047
F4,0.0345,-0.0563
F8,0.0659,-0.1593
M1,-0.0832,0.0552
T7,-0.0369,0.1198
C3,-0.0273,0.0310
Cz,-0.0223,0.0024
C4,-0.0244,-0.0473
T8,-0.0321,-0.0989
M2,-0.0740,-0.0449
P7,-0.0620,0.0408
P3,-0.0519,0.0206
Pz,-0.0506,-0.0048
P4,-0.0500,-0.0225
P8,-0.0614,-0.0479
O1,-0.0802,0.0019
O2,-0.0823,-0.0098
	, , 
sum abs,1.4757,1.0928
