channel,NMSE
FP1,1.8788
FP2,2.9783
F3,0.2781
F4,0.4704
C3,0.0733
C4,0.1054
P3,0.0430
P4,0.0425
O1,0.0205
O2,0.0116
F7,0.2558
F8,0.1525
T3,0.0471
T4,0.0615
T5,0.0380
T6,0.0381
Fz,0.0707
Cz,0.0968
Pz,0.0398
	, 
sum,6.7024
