electrode,time,NMSE
FP1,   ,0.7716
FP2,   ,1.0581
F3,   ,0.4570
F4,   ,0.7149
C3,   ,0.4194
C4,   ,0.5877
P3,   ,0.4092
P4,   ,0.3945
O1,   ,0.1171
O2,   ,0.1907
F7,   ,0.2915
F8,   ,0.8293
T3,   ,0.3315
T4,   ,0.6034
T5,   ,0.3117
T6,   ,0.2024
Fz,   ,0.5782
Cz,   ,0.4991
Pz,   ,0.3967
sum,1.99,9.1640
