channel,NMSE
FP1,9.2220
FP2,4.5000
F3,1.1478
F4,0.5582
C3,0.3005
C4,0.1251
P3,0.1491
P4,0.0581
O1,0.0604
O2,0.0238
F7,2.1477
F8,0.6600
T3,0.6535
T4,0.1866
T5,0.2242
T6,0.0601
Fz,1.0789
Cz,0.2618
Pz,0.1009
	, 
sum,21.5185
