electrode,time,NMSE
FP1,   ,3.7383
FP2,   ,2.9014
F3,   ,0.5035
F4,   ,0.3560
C3,   ,0.0887
C4,   ,0.0560
P3,   ,0.0260
P4,   ,0.0268
O1,   ,0.0166
O2,   ,0.0107
F7,   ,1.2949
F8,   ,0.8533
T3,   ,0.3117
T4,   ,0.1556
T5,   ,0.0439
T6,   ,0.0403
Fz,   ,0.4584
Cz,   ,0.0777
Pz,   ,0.0219
sum,2.51,10.9817
