electrode,time,NMSE
FP1,   ,2.8204
FP2,   ,1.2488
F3,   ,0.8023
F4,   ,0.4747
C3,   ,0.4082
C4,   ,0.4334
P3,   ,0.2316
P4,   ,0.4979
O1,   ,0.2641
O2,   ,0.6515
F7,   ,1.4636
F8,   ,0.8484
T3,   ,0.5722
T4,   ,0.4365
T5,   ,0.3189
T6,   ,0.5742
Fz,   ,0.5444
Cz,   ,0.2571
Pz,   ,0.2902
sum,13.16,13.1384
