electrode,time,NMSE
FP1,   ,0.6926
FP2,   ,0.6516
F3,   ,0.1376
F4,   ,0.0913
C3,   ,0.0321
C4,   ,0.0280
P3,   ,0.0141
P4,   ,0.0126
O1,   ,0.0052
O2,   ,0.0059
F7,   ,0.1433
F8,   ,0.1104
T3,   ,0.0259
T4,   ,0.0229
T5,   ,0.0190
T6,   ,0.0113
Fz,   ,0.1670
Cz,   ,0.0416
Pz,   ,0.0151
sum,2.02,2.2276
