channel,beta_V,beta_H
Fp1,0.1904,0.1064
Fp2,0.2448,-0.0244
F7,0.0581,0.2068
F3,0.0395,0.0767
Fz,0.0515,0.0104
F4,0.0457,-0.0599
F8,0.0923,-0.1908
M1,-0.0755,0.0445
T7,-0.0290,0.1314
C3,-0.0251,0.0399
Cz,-0.0254,-0.0026
C4,-0.0242,-0.0482
T8,-0.0286,-0.1259
M2,-0.0746,-0.0691
P7,-0.0595,0.0279
P3,-0.0508,0.0146
Pz,-0.0547,-0.0101
P4,-0.0545,-0.0341
P8,-0.0630,-0.0582
O1,-0.0774,-0.0080
O2,-0.0801,-0.0257
	, , 
sum abs,1.4446,1.3155
