channel,beta_V,beta_H
Fp1,0.2894,0.1065
Fp2,0.2673,-0.0195
F7,0.1101,0.2561
F3,0.0653,0.0841
Fz,0.0433,0.0060
F4,0.0581,-0.0656
F8,0.1083,-0.2361
M1,-0.0936,0.0181
T7,-0.0416,0.1005
C3,-0.0258,0.0434
Cz,-0.0319,-0.0026
C4,-0.0300,-0.0497
T8,-0.0473,-0.1214
M2,-0.0978,-0.0506
P7,-0.0766,0.0213
P3,-0.0645,0.0138
Pz,-0.0602,-0.0047
P4,-0.0643,-0.0193
P8,-0.0789,-0.0428
O1,-0.0847,-0.0018
O2,-0.0853,-0.0126
	, , 
sum abs,1.8243,1.2765
