channel,beta_V,beta_H
Fp1,0.1865,-0.0130
Fp2,0.1343,-0.1687
F7,0.0815,0.2107
F3,0.0404,0.0466
Fz,0.0255,-0.0376
F4,-0.0008,-0.1444
F8,-0.0066,-0.2057
M1,-0.0410,0.1081
T7,-0.0162,0.1724
C3,-0.0171,0.0600
Cz,-0.0237,-0.0214
C4,-0.0356,-0.0711
T8,-0.0536,-0.1078
M2,-0.0589,-0.0210
P7,-0.0398,0.0588
P3,-0.0338,0.0622
Pz,-0.0381,0.0241
P4,-0.0497,-0.0276
P8,-0.0573,-0.0127
O1,-0.0447,0.0750
O2,-0.0481,0.0379
	, , 
sum abs,1.0332,1.6867
