electrode,time,NMSE
FP1,   ,1.3359
FP2,   ,1.2322
F3,   ,0.4335
F4,   ,0.3827
C3,   ,0.2637
C4,   ,0.1246
P3,   ,0.2170
P4,   ,0.1470
O1,   ,0.1603
O2,   ,0.2731
F7,   ,1.2810
F8,   ,1.3973
T3,   ,0.3323
T4,   ,0.2755
T5,   ,0.1747
T6,   ,0.1816
Fz,   ,0.3699
Cz,   ,0.1412
Pz,   ,0.1363
sum,1.92,8.8596
