electrode,time,NMSE
FP1,   ,0.6211
FP2,   ,0.7970
F3,   ,0.2959
F4,   ,0.3138
C3,   ,0.3404
C4,   ,0.3310
P3,   ,0.2810
P4,   ,0.3200
O1,   ,0.0981
O2,   ,0.1429
F7,   ,0.2557
F8,   ,0.2446
T3,   ,0.1901
T4,   ,0.2391
T5,   ,0.1512
T6,   ,0.1969
Fz,   ,0.2692
Cz,   ,0.4461
Pz,   ,0.4017
sum,0.61,5.9358
